sequence,method,sp_raw,sp_norm,wsp_raw,wsp_norm
BBS30026,ClustalW,240606.0,0.17270025839793282,284.23091470117396,0.714571408772941
BBS30026,MUSCLE,263953.0,0.14731821936463288,364.9818398943403,0.8090820211302552
BBS30026,BAliBASE,257712.0,0.17519986947299723,275.008094237794,0.727408662182873
BB30002,ClustalW,54698.0,0.1342809446653901,327.73665594651396,0.8323175736010566
BB30002,MUSCLE,62344.0,0.11135641053120424,508.58110031126773,0.9091401792205551
BB30002,BAliBASE,58490.0,0.123439593951481,441.9950374952638,0.8320232780375262
BB30019,ClustalW,38129.0,0.0734768993592523,559.5341814097325,0.8260649086095525
BB30019,MUSCLE,42190.0,0.05583147074041873,916.9010718145771,0.9248875543101116
BB30019,BAliBASE,39368.0,0.0749729573258985,493.4224805085737,0.8831164254791369
BB30011,ClustalW,214233.0,0.21236419508326726,284.5819942750436,0.8155075020035124
BB30011,MUSCLE,218788.0,0.17858495494318924,321.3352697032764,0.8740737197962797
BB30011,BAliBASE,216530.0,0.21158732020012508,242.91144637334654,0.8371110289498974
BBS30030,ClustalW,148808.0,0.20928924243617583,112.87768319548455,0.793957917902861
BBS30030,MUSCLE,151405.0,0.1823829216200947,166.84550262540816,0.7727337534214881
BBS30030,BAliBASE,149023.0,0.1950654742893644,148.36332358458236,0.7217790332840897
BBS30008,ClustalW,81757.0,0.27320634920634923,60.18761866172157,0.8681537920274565
BBS30008,MUSCLE,86642.0,0.22289624655913148,132.53801041904072,0.8985810177334014
BBS30008,BAliBASE,79744.0,0.23397001437666873,98.35860330902952,0.8682564307118248
BBS30002,ClustalW,56946.0,0.17494930875576037,246.83000126497487,0.8088734273178723
BBS30002,MUSCLE,60170.0,0.16959089051424062,279.5776351794513,0.8498686618262581
BBS30002,BAliBASE,57202.0,0.17751090009154524,284.7367131647765,0.8040470993293504
BBS30018,ClustalW,361085.0,0.35055809108287245,124.3634716832856,0.8303783299054711
BBS30018,MUSCLE,366909.0,0.3258155178155178,141.72680646924408,0.8557429493086353
BBS30018,BAliBASE,364587.0,0.3429593005864192,131.38567570927708,0.836256369271321
BB30021,ClustalW,395099.0,0.06859167106469265,867.9178097680714,0.9621685332637341
BB30021,MUSCLE,433101.0,0.057360724086415696,1131.7220634539494,1.006190417945839
BB30021,BAliBASE,403997.0,0.06580152224156831,1026.834493556806,0.969121379474697
BBS30004,ClustalW,148741.0,0.23808083233293317,48.50653741183069,0.6220851606504194
BBS30004,MUSCLE,151567.0,0.22133839582344567,56.86206534405498,0.6566212098903308
BBS30004,BAliBASE,150084.0,0.24070245780040897,48.87183604590263,0.6162366268295832
BB30028,ClustalW,743517.0,0.3503070947461262,303.97559252224306,0.8432735459958871
BB30028,MUSCLE,761275.0,0.2842122436667085,432.4597912014856,0.9042861735954736
BB30028,BAliBASE,751199.0,0.3353638827974885,327.9177595208154,0.856321782849908
BBS30022,ClustalW,75709.0,0.2779178826422921,55.08232476750916,0.7913151034844726
BBS30022,MUSCLE,78447.0,0.26122877122877125,61.20178978800277,0.8253018510678751
BBS30022,BAliBASE,77247.0,0.27490524742433137,55.542134477347886,0.8054879059110553
BBS30016,ClustalW,14379.0,0.30842985842985843,12.996037496899756,0.7069720178421769
BBS30016,MUSCLE,14770.0,0.3214083648866258,12.720740050594896,0.7003786279778167
BBS30016,BAliBASE,14620.0,0.31814423118770946,12.696457086023019,0.7003633644919032
BBS30013,ClustalW,416289.0,0.1998171214630283,267.4207401181995,0.8096665098764472
BBS30013,MUSCLE,432443.0,0.16570792475677001,369.58816503288807,0.8686422289563511
BBS30013,BAliBASE,420472.0,0.19334490567772936,235.17431347168898,0.8404108186190136
BBS30005,ClustalW,455321.0,0.23437583646643634,241.1965609957849,0.7302531818925551
BBS30005,MUSCLE,463774.0,0.21555644381646463,272.1986998864444,0.7862286108652505
BBS30005,BAliBASE,460919.0,0.2305000680119701,256.3057855060679,0.7433377515671169
BBS30003,ClustalW,584732.0,0.12374777575175781,691.4122749241698,0.7505063503834736
BBS30003,MUSCLE,653370.0,0.08378075516162004,1142.6933128319129,0.9244570480179034
BBS30003,BAliBASE,617664.0,0.12003605372611528,794.0715493212188,0.7722347511429652
BB30027,ClustalW,4779.0,0.10657894736842105,42.56136487195948,0.9398807639968029
BB30027,MUSCLE,4910.0,0.09099332839140103,54.92274561011475,0.9664369876153523
BB30027,BAliBASE,4729.0,0.10414005725611099,37.931113778838345,0.901775013422287
BB30018,ClustalW,449024.0,0.1897527176714994,462.5768788695692,0.9002040978908639
BB30018,MUSCLE,464400.0,0.14439342170434608,619.7538449024715,0.9641537558294473
BB30018,BAliBASE,456890.0,0.18352777098253575,485.7296200260235,0.9074513004935255
BB30024,ClustalW,201467.0,0.07073872454217701,1104.8430746910194,0.9411988583825025
BB30024,MUSCLE,219859.0,0.06463209571684746,1347.737268087275,0.9793934213016241
BB30024,BAliBASE,204459.0,0.07173018429057076,1037.8498180507434,0.9331293685907577
BBS30009,ClustalW,14293.0,0.27108582266477005,12.623968077166134,0.8631557972035572
BBS30009,MUSCLE,14310.0,0.22617354196301565,14.696924939068474,0.9054138759435258
BBS30009,BAliBASE,14049.0,0.27005882126792513,12.154880446504013,0.8576165855124126
BB30020,ClustalW,35167.0,0.026399669694467384,440.56245976662683,1.0327721583388072
BB30020,MUSCLE,37516.0,0.01399255540553645,965.8503897244136,1.0863099005498091
BB30020,BAliBASE,35133.0,0.02313756223492532,610.7381400852431,0.9431890535576528
BB30006,ClustalW,6279.0,0.04297300071861205,507.697981985131,0.9665114562640089
