sequence,method,sp_raw,sp_norm,wsp_raw,wsp_norm
BBS30011,ClustalW,210773.0,0.32001517392332546,130.57568704252904,0.7106019646686816
BBS30011,MUSCLE,216042.0,0.3200157468113266,137.66662924196672,0.7454623802145786
BBS30011,BAliBASE,214777.0,0.3200155531498159,128.51826613335635,0.7200634641662719
BB30021,ClustalW,395099.0,0.3200015624723516,729.0710639481737,0.9575892069012277
BB30021,MUSCLE,433101.0,0.32000213396910737,954.8639477400034,1.003643713737805
BB30021,BAliBASE,403997.0,0.32000184279846144,840.8687226141491,0.9669375200318164
BB30022,ClustalW,78119.0,0.32001937050392826,106.97789633189561,0.8775334326513856
BB30022,MUSCLE,81839.0,0.3200209107470326,130.55094285375282,0.9137408341297826
BB30022,BAliBASE,80523.0,0.3200193148968334,102.74509836529097,0.8689036814267577
BB30026,ClustalW,257342.0,0.3200046056989369,641.0978808187882,0.8678328674020257
BB30026,MUSCLE,294702.0,0.32000684847547506,693.3207923035227,0.946024898724199
BB30026,BAliBASE,283407.0,0.3200059999342375,550.969024763447,0.8349543264382195
BBS30030,ClustalW,148808.0,0.3200153498570896,99.86912477238042,0.7806129620551229
BBS30030,MUSCLE,151405.0,0.32001523876443455,143.0937774654654,0.7729999060514614
BBS30030,BAliBASE,149023.0,0.32001513421246985,126.67050566179321,0.7256977845122055
BBS30007,ClustalW,7868.0,0.3201078398139675,19.687599679995643,0.6136178607968142
BBS30007,MUSCLE,8085.0,0.3201086556584037,30.466901537720222,0.6561187322153536
BBS30007,BAliBASE,7763.0,0.3201009965149253,27.573115070174858,0.635591165064396
BB30024,ClustalW,201467.0,0.3200098444939114,919.2214431219527,0.9398085104606441
BB30024,MUSCLE,219859.0,0.32001218875737314,1154.975941149927,0.9805400837503228
BB30024,BAliBASE,204459.0,0.3200106278584262,886.3891325198789,0.9336259288119814
BBS30002,ClustalW,56946.0,0.32005616096159417,230.00682891254684,0.809025184392881
